2018-10-04T07:10:18.460-0400 ERROR BEGIN UNLOGGED BATCH
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:38.685', 6,15312357,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:39.697', 6,15312357,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:40.701', 6,15312357,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:41.705', 6,15334677,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:42.707', 6,15374016,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:43.711', 6,15425352,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:44.714', 6,15473061,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:45.716', 6,15517980,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:46.719', 6,15558993,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:47.721', 6,15596937,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:48.726', 6,15631254,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:49.728', 6,15663618,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:50.731', 6,15696540,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:51.734', 6,15727509,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:52.737', 6,15757362,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:53.739', 6,15788052,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:54.742', 6,15817626,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:55.744', 6,15843852,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:56.746', 6,15870915,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:57.749', 6,15897978,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:58.751', 6,15923088,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:52:59.753', 6,15950709,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:53:00.755', 6,15978609,557074.61,545.791);
 INSERT INTO JmxMetrics.TestResults (timestamp, liveSSTableCount, allMemtablesLiveDataSize, readLatency95thPercentile, writeLatency95thPercentile)  VALUES ('2018-10-04 05:53:01.758', 6,16005672,557074.61,545.791);
